COUNTY,MUNICIPALITY,CLASS
Beaver,New Galilee Borough Pennsylvania,Borough
Beaver,New Sewickley Township Pennsylvania,2nd Township
Beaver,North Sewickley Township Pennsylvania,2nd Township
Beaver,Ohioville Borough Pennsylvania,Borough
Beaver,Patterson Heights Borough Pennsylvania,Borough
Beaver,Patterson Township Pennsylvania,1st Township
Beaver,Potter Township Pennsylvania,2nd Township
Beaver,Pulaski Township Pennsylvania,2nd Township
Beaver,Raccoon Township Pennsylvania,2nd Township
Beaver,Rochester Borough Pennsylvania,Borough
Beaver,Rochester Township Pennsylvania,1st Township
Beaver,Shippingport Borough Pennsylvania,Borough
Beaver,South Beaver Township Pennsylvania,2nd Township
Beaver,South Heights Borough Pennsylvania,Borough
Beaver,Vanport Township Pennsylvania,1st Township
Beaver,West Mayfield Borough Pennsylvania,Borough
Beaver,White Township Pennsylvania,2nd Township
Bedford,Bedford Borough Pennsylvania,Borough
Bedford,Bedford Township Pennsylvania,2nd Township
Bedford,Bloomfield Township Pennsylvania,2nd Township
Bedford,Broad Top Township Pennsylvania,2nd Township
Bedford,Coaldale Borough Pennsylvania,Borough
Bedford,Colerain Township Pennsylvania,2nd Township
Bedford,Cumberland Valley Township Pennsylvania,2nd Township
Bedford,East Providence Township Pennsylvania,2nd Township
Bedford,East St Clair Township Pennsylvania,2nd Township
Bedford,Everett Borough Pennsylvania,Borough
Bedford,Harrison Township Pennsylvania,2nd Township
Bedford,Hopewell Borough Pennsylvania,Borough
Bedford,Hopewell Township Pennsylvania,2nd Township
Bedford,Hyndman Borough Pennsylvania,Borough
Bedford,Juniata Township Pennsylvania,2nd Township
Bedford,Kimmel Township Pennsylvania,2nd Township
Bedford,King Township Pennsylvania,2nd Township
Bedford,Liberty Township Pennsylvania,2nd Township
Bedford,Lincoln Township Pennsylvania,2nd Township
Bedford,Londonderry Township Pennsylvania,2nd Township
Bedford,Mann Township Pennsylvania,2nd Township
Bedford,Manns Choice Borough Pennsylvania,Borough
Bedford,Monroe Township Pennsylvania,2nd Township
Bedford,Napier Township Pennsylvania,2nd Township
Bedford,New Paris Borough Pennsylvania,Borough
