COUNTY,MUNICIPALITY,CLASS
Bucks,East Rockhill Township Pennsylvania,2nd Township
Bucks,Falls Township Pennsylvania,2nd Township
Bucks,Haycock Township Pennsylvania,2nd Township
Bucks,Hilltown Township Pennsylvania,2nd Township
Bucks,Lower Makefield Township Pennsylvania,2nd Township
Bucks,Lower Southampton Township Pennsylvania,2nd Township
Bucks,Middletown Township Pennsylvania,2nd Township
Bucks,Milford Township Pennsylvania,2nd Township
Bucks,New Britain Township Pennsylvania,2nd Township
Bucks,Newtown Township Pennsylvania,2nd Township
Bucks,Nockamixon Township Pennsylvania,2nd Township
Bucks,Northampton Township Pennsylvania,2nd Township
Bucks,Plumstead Township Pennsylvania,2nd Township
Bucks,Richland Township Pennsylvania,2nd Township
Bucks,Solebury Township Pennsylvania,2nd Township
Bucks,Springfield Township Pennsylvania,2nd Township
Bucks,Tinicum Township Pennsylvania,2nd Township
Bucks,Upper Makefield Township Pennsylvania,2nd Township
Bucks,Upper Southampton Township Pennsylvania,2nd Township
Bucks,Warminster Township Pennsylvania,2nd Township
Bucks,Warrington Township Pennsylvania,2nd Township
Bucks,Warwick Township Pennsylvania,2nd Township
Bucks,West Rockhill Township Pennsylvania,2nd Township
Bucks,Wrightstown Township Pennsylvania,2nd Township
Butler,Adams Township Pennsylvania,2nd Township
Butler,Allegheny Township Pennsylvania,2nd Township
Butler,Brady Township Pennsylvania,2nd Township
Butler,Buffalo Township Pennsylvania,2nd Township
Butler,Butler City Pennsylvania,City
Butler,Butler Township Pennsylvania,1st Township
Butler,Center Township Pennsylvania,2nd Township
Butler,Cherry Township Pennsylvania,2nd Township
Butler,Clay Township Pennsylvania,2nd Township
Butler,Clearfield Township Pennsylvania,2nd Township
Butler,Clinton Township Pennsylvania,2nd Township
Butler,Concord Township Pennsylvania,2nd Township
Butler,Connoquenessing Township Pennsylvania,2nd Township
Butler,Cranberry Township Pennsylvania,2nd Township
Butler,Donegal Township Pennsylvania,2nd Township
Butler,Fairview Township Pennsylvania,2nd Township
Butler,Forward Township Pennsylvania,2nd Township
Butler,Franklin Township Pennsylvania,2nd Township
Butler,Jackson Township Pennsylvania,2nd Township
Butler,Jefferson Township Pennsylvania,2nd Township
Butler,Lancaster Township Pennsylvania,2nd Township
Butler,Marion Township Pennsylvania,2nd Township
Butler,Mercer Township Pennsylvania,2nd Township
Butler,Middlesex Township Pennsylvania,2nd Township
Butler,Muddy Creek Township Pennsylvania,2nd Township
Butler,Oakland Township Pennsylvania,2nd Township
Butler,Parker Township Pennsylvania,2nd Township
Butler,Penn Township Pennsylvania,2nd Township
Butler,Slippery Rock Township Pennsylvania,2nd Township
Butler,Summit Township Pennsylvania,2nd Township
Butler,Venango Township Pennsylvania,2nd Township
Butler,Washington Township Pennsylvania,2nd Township
Butler,Winfield Township Pennsylvania,2nd Township
Butler,Worth Township Pennsylvania,2nd Township
Cambria,Adams Township Pennsylvania,2nd Township
Cambria,Allegheny Township Pennsylvania,2nd Township
Cambria,Barr Township Pennsylvania,2nd Township
Cambria,Blacklick Township Pennsylvania,2nd Township
Cambria,Cambria Township Pennsylvania,2nd Township
Cambria,Chest Township Pennsylvania,2nd Township
Cambria,Clearfield Township Pennsylvania,2nd Township
Cambria,Conemaugh Township Pennsylvania,2nd Township
Cambria,Cresson Township Pennsylvania,2nd Township
Cambria,Croyle Township Pennsylvania,2nd Township
Cambria,Dean Township Pennsylvania,2nd Township
Cambria,East Carroll Township Pennsylvania,2nd Township
Cambria,East Taylor Township Pennsylvania,2nd Township
Cambria,Elder Township Pennsylvania,2nd Township
Cambria,Gallitzin Township Pennsylvania,2nd Township
